Gene,GeneID,alphaTC,3T3,MDCT,AML12,B16F10,BW51473,C8D1A,EML6,LL2,N1E115,NE_4C,J774A,EML
0610009B22Rik,ENSMUSG00000007777.9,32.655,38.1229,63.4447,47.6439,81.5719,40.3723,28.1501,25.5906,26.5901,40.3191,53.0053,35.0425,25.5906
0610010F05Rik,ENSMUSG00000042208.15,15.2666,4.77911,22.1629,28.0981,8.66058,6.19334,4.79875,27.9131,5.1738,10.2428,5.91887,8.02204,27.9131
0610010K14Rik,ENSMUSG00000020831.18,18.8027,67.8409,103.204,48.6303,61.0878,142.226,76.2725,80.7861,62.5939,80.4913,167.807,57.3339,80.7861
0610012G03Rik,ENSMUSG00000107002.1,41.2885,23.932,17.4262,17.6519,19.586,7.63806,12.6418,24.4448,16.5338,19.1074,14.9531,22.3865,24.4448
0610030E20Rik,ENSMUSG00000058706.5,22.2481,6.48189,10.5646,10.073,15.7324,16.5273,6.50533,17.5113,9.77649,10.0161,7.6739,10.8455,17.5113
0610040J01Rik,ENSMUSG00000060512.7,68.7935,0.042156,0,8.43889,0,0,0.179446,0,0,0,5.90308,0.112976,0
1110002E22Rik,ENSMUSG00000090066.2,0.007531,0,1.56768,0.360935,0,0.013434,0.122646,0.025669,0.007191,0,0,0.025121,0.025669
1110004F10Rik,ENSMUSG00000030663.12,181.346,134.315,148.679,177.422,133.763,219.583,148.765,125.366,117.937,257.437,72.7609,159.249,125.366
1110008P14Rik,ENSMUSG00000039195.4,55.5873,29.1361,72.3533,28.778,46.4575,21.9144,45.4965,26.4551,14.7681,37.61,18.887,53.944,26.4551
1110012L19Rik,ENSMUSG00000045237.5,21.96,39.567,21.0896,28.0304,24.4559,35.3164,18.4699,15.7448,23.999,11.6492,30.2669,18.0876,15.7448
1110017D15Rik,ENSMUSG00000028441.12,0.138118,0.184654,0,0.118321,0.320977,0,0,0,0.216129,0.895228,0.199695,0.252429,0
1110025L11Rik,ENSMUSG00000068073.2,0,0,0,0,0,0,0,0,0,0,0,0,0
1110032A03Rik,ENSMUSG00000037971.10,8.97737,6.09361,10.3682,7.50068,23.8832,12.1738,8.04175,4.90505,4.62671,3.05785,10.4392,8.77536,4.90505
1110032F04Rik,ENSMUSG00000046999.2,0,0,0.073015,0,0,0,0,0,0.057062,0.505333,0.569471,0,0
1110038F14Rik,ENSMUSG00000063236.6,38.502,40.5005,59.2428,22.4984,53.2565,29.2411,20.1825,39.9917,39.2583,35.293,14.9559,32.3947,39.9917
1110051M20Rik,ENSMUSG00000040591.18,32.8013,17.4454,37.9963,4.69246,44.9039,16.5891,32.408,0.029993,15.6389,37.0971,17.9922,1.246,0.029993
1110059E24Rik,ENSMUSG00000035171.9,36.172,30.6425,77.3572,51.0064,17.3453,23.1419,32.8934,21.7003,28.5657,14.9088,37.2036,13.8295,21.7003
1110059G10Rik,ENSMUSG00000032551.7,20.9658,10.6893,15.8284,19.2896,15.2116,17.6007,12.8917,14.6658,11.7378,20.0259,6.7103,21.7525,14.6658
1110065P20Rik,ENSMUSG00000078570.10,58.5671,44.3578,20.5261,9.72721,48.1509,7.50656,37.6412,20.0456,36.2997,28.7394,15.4067,10.3507,20.0456
1190007I07Rik,ENSMUSG00000063320.11,52.9264,9.19626,29.4864,29.5443,46.403,37.7773,24.5261,22.3433,23.2352,34.7654,18.7174,25.5705,22.3433
1300017J02Rik,ENSMUSG00000033688.10,0,0,0.124906,0,0.594266,0.56405,0.040399,0,0.08056,0.095415,0.13924,0.037704,0
1500009C09Rik,ENSMUSG00000068099.5,9.78881,0,0,0,0,0,0,0,0,0.243235,0.052648,0,0
1500009L16Rik,ENSMUSG00000087651.3,8.78579,0,10.1809,0,1.34827,13.3225,1.16221,4.93453,0,23.4706,8.04515,0,4.93453
1500011B03Rik,ENSMUSG00000072694.8,141.202,56.3821,74.8354,17.9307,26.5303,17.9186,24.6926,21.5841,26.8998,5.74957,108.968,42.0417,21.5841
1520401A03Rik,ENSMUSG00000043747.12,0.194796,0.031173,0.369245,0.01743,0.210785,0,0.096888,0.098511,0.23202,1.2546,0.086081,0.02244,0.098511
1600012H06Rik,ENSMUSG00000050088.9,21.6466,27.2052,28.6481,33.0421,29.0359,7.34679,16.3756,13.0889,30.0904,18.7253,16.7345,32.0563,13.0889
1600014C10Rik,ENSMUSG00000054676.15,18.6499,11.26,5.47261,15.397,21.9783,10.9593,0,44.6408,5.89982,3.53822,3.01226,11.5623,44.6408
1600014C23Rik,ENSMUSG00000094690.2,1.2073,0,0.748653,0,1.10482,0.182989,0,0,0,0.190559,0.408759,0.225708,0
1700001C19Rik,ENSMUSG00000047150.8,3.55656,0,0.196241,0.212989,0,1.05538,0.523018,0,0.153446,0.601821,0.197016,0.054825,0
1700001K19Rik,ENSMUSG00000056508.6,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001L19Rik,ENSMUSG00000021534.8,0.346579,0.644384,0.159116,0,0.37694,1.74965,0.207888,0.049301,0.574071,0.527467,0,0,0.049301
1700001O22Rik,ENSMUSG00000044320.14,3.07811,5.14391,4.08328,0,0.050589,1.71572,0.183285,0,0.230302,4.09282,0.968827,0,0
1700001P01Rik,ENSMUSG00000018543.8,0.310694,1.68619,0.599105,0,0,0.847107,0,0.53424,0.149797,1.66337,0.156695,0,0.53424
1700003E16Rik,ENSMUSG00000030030.5,2.01914,1.72419,3.34958,0.360966,2.69584,0.208997,0.941953,0,2.45843,2.33837,0,0.170054,0
1700003F12Rik,ENSMUSG00000038523.10,0.132528,0.898989,1.31119,1.03697,20.6145,0.119708,10.4101,0,0.519371,0,5.98838,3.35791,0
1700003H04Rik,ENSMUSG00000039174.14,0,0,0,0,0,0,0,0,0,0,0,0,0
1700006A11Rik,ENSMUSG00000027973.11,0,0,0,0,0,0,0,0,0,0,0,0,0
